geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type
NH,uninsured,wk3_4,black,0.060109580938467466,0.046821802883917255,0.091770733652477815,-0.03166115271401035,0.15188031459094528,state
NH,uninsured,wk3_4,hispanic,0.38964513086082014,0.1232417905437836,0.24155390946581587,0.14809122139500427,0.631199040326636,state
NH,uninsured,wk3_4,other,0.03405762167362021,0.02785922690470645,0.05460408473322464,-0.020546463059604426,0.08866170640684484,state
NH,uninsured,wk3_4,white,0.04990181810185807,0.007326750881566063,0.014360431727869483,0.035541386373988584,0.06426224982972756,state
NJ,uninsured,wk3_4,asian,0.11681522976765996,0.035008483339523964,0.06861662734546697,0.04819860242219298,0.18543185711312693,state
NJ,uninsured,wk3_4,black,0.08113467805080699,0.022054001276577233,0.043225842502091376,0.03790883554871561,0.12436052055289837,state
NJ,uninsured,wk3_4,hispanic,0.23060396674778663,0.032127653000189375,0.06297019988037117,0.16763376686741546,0.29357416662815783,state
NJ,uninsured,wk3_4,other,0.17554053669688877,0.08849378211645331,0.1734478129482485,0.0020927237486402794,0.34898834964513725,state
NJ,uninsured,wk3_4,white,0.061090594129687856,0.010867556667310355,0.021300411067928297,0.03979018306175956,0.08239100519761615,state
NM,uninsured,wk3_4,asian,0.010534974664239033,0.010924965092307828,0.021412931580923344,-0.010877956916684311,0.031947906245162375,state
NM,uninsured,wk3_4,black,0,0,0,0,0,state
NM,uninsured,wk3_4,hispanic,0.10714226762013217,0.021381160602856393,0.04190707478159853,0.06523519283853363,0.1490493424017307,state
NM,uninsured,wk3_4,other,0.1285928145367775,0.038422643723836,0.07530838169871855,0.05328443283805896,0.20390119623549607,state
NM,uninsured,wk3_4,white,0.056743093624976565,0.017736145087622057,0.03476284437173923,0.021980249253237334,0.0915059379967158,state
NV,uninsured,wk3_4,asian,0.161695898300463,0.05346727841146821,0.10479586568647768,0.05690003261398531,0.2664917639869407,state
NV,uninsured,wk3_4,black,0.06703544647848138,0.023243427217492004,0.04555711734628433,0.02147832913219705,0.1125925638247657,state
NV,uninsured,wk3_4,hispanic,0.22659751078382107,0.034877231607554994,0.06835937395080778,0.1582381368330133,0.29495688473462883,state
NV,uninsured,wk3_4,other,0.12104480111335802,0.051707153876518586,0.10134602159797643,0.019698779515381598,0.22239082271133445,state
NV,uninsured,wk3_4,white,0.05004048933349033,0.00867463847116554,0.01700229140348446,0.03303819793000587,0.0670427807369748,state
NY,uninsured,wk3_4,asian,0.032031685481231684,0.013607519864043915,0.026670738933526072,0.005360946547705612,0.05870242441475776,state
NY,uninsured,wk3_4,black,0.028817421241214742,0.012814116264634558,0.02511566787868373,0.0037017533625310108,0.05393308911989847,state
NY,uninsured,wk3_4,hispanic,0.1745396660174888,0.03707676581161035,0.07267046099075629,0.10186920502673251,0.24721012700824507,state
NY,uninsured,wk3_4,other,0.08926799729207995,0.04558986804585516,0.08935614136987612,-8.814407779617062e-5,0.17862413866195606,state
NY,uninsured,wk3_4,white,0.03815776132425111,0.007663006602634871,0.015019492941164347,0.023138268383086764,0.05317725426541546,state
OH,uninsured,wk3_4,asian,0.08388158407686842,0.05204173914000805,0.10200180871441578,-0.018120224637547352,0.18588339279128419,state
OH,uninsured,wk3_4,black,0.10894798633290895,0.03471854549414376,0.06804834916852176,0.04089963716438719,0.1769963355014307,state
OH,uninsured,wk3_4,hispanic,0.11378292533531527,0.04063112426144078,0.07963700355242394,0.03414592178289133,0.1934199288877392,state
OH,uninsured,wk3_4,other,0.13805606399853046,0.07455161555708795,0.14612116649189238,-0.008065102493361925,0.28417723049042287,state
OH,uninsured,wk3_4,white,0.06423005432977334,0.011957543423091473,0.023436785109259287,0.04079326922051406,0.08766683943903263,state
OK,uninsured,wk3_4,asian,0.17537976705492703,0.11546012911188688,0.22630185305929829,-0.05092208600437126,0.4016816201142253,state
OK,uninsured,wk3_4,black,0.23361554157041162,0.060761481149243714,0.11909250305251767,0.11452303851789394,0.35270804462292926,state
